"AI Assistant","AI Assistant"
"Open AI shopping assistant","Open AI shopping assistant"
"Close assistant","Close assistant"
"Message","Message"
"Send","Send"
"Try again","Try again"
"View product","View product"
"Searching the catalog…","Searching the catalog…"
"The assistant is temporarily unavailable. Please try again.","The assistant is temporarily unavailable. Please try again."
"Too many requests. Please wait a moment and try again.","Too many requests. Please wait a moment and try again."
"Please enter a valid message.","Please enter a valid message."
"I couldn't find a matching product. Try a different description.","I couldn't find a matching product. Try a different description."
"I can only help you find products in this store.","I can only help you find products in this store."
"Invalid form key.","Invalid form key."
"Homepage","Homepage"
"Product pages","Product pages"
"Category pages","Category pages"
"Custom / OpenAI-compatible","Custom / OpenAI-compatible"
"General","General"
"Enable SearchAI","Enable SearchAI"
"Assistant Name","Assistant Name"
"Welcome Message","Welcome Message"
"Input Placeholder","Input Placeholder"
"Show Chatbot On","Show Chatbot On"
"Select one or more storefront locations.","Select one or more storefront locations."
"Maximum Conversation History","Maximum Conversation History"
"Maximum 20 messages. The default is 6.","Maximum 20 messages. The default is 6."
"AI Provider","AI Provider"
"Provider","Provider"
"OpenAI Model","OpenAI Model"
"OpenAI API Key","OpenAI API Key"
"Anthropic Model","Anthropic Model"
"Anthropic API Key","Anthropic API Key"
"Gemini Model","Gemini Model"
"Gemini API Key","Gemini API Key"
"Custom Base URL","Custom Base URL"
"HTTP or HTTPS OpenAI-compatible gateway URL.","HTTP or HTTPS OpenAI-compatible gateway URL."
"Custom Endpoint Path","Custom Endpoint Path"
"Custom Model ID","Custom Model ID"
"Custom API Key","Custom API Key"
"Authorization Header","Authorization Header"
"Authorization Prefix","Authorization Prefix"
"Catalog","Catalog"
"Candidate Products","Candidate Products"
"From 3 to 20. The default is 8.","From 3 to 20. The default is 8."
"Use Short Description","Use Short Description"
"Include Full Description in AI Context","Include Full Description in AI Context"
"Disabled by default to reduce tokens, cost, and latency.","Disabled by default to reduce tokens, cost, and latency."
"Additional Product Attributes","Additional Product Attributes"
"Comma-separated public attribute codes, for example brand,color,size,material.","Comma-separated public attribute codes, for example brand,color,size,material."
"Include Out-of-Stock Products","Include Out-of-Stock Products"
"Security","Security"
"Requests per Minute","Requests per Minute"
"Maximum Query Length","Maximum Query Length"
"Provider Timeout in Seconds","Provider Timeout in Seconds"
"Maximum Provider Response Bytes","Maximum Provider Response Bytes"
"Advanced","Advanced"
"Additional System Guidance","Additional System Guidance"
"Store guidance is appended without replacing the built-in security rules.","Store guidance is appended without replacing the built-in security rules."
"GPT-5.6 Luna (economical)","GPT-5.6 Luna (economical)"
"Claude Fable 5 (economical)","Claude Fable 5 (economical)"
"Gemini 3.8 Flash (economical)","Gemini 3.8 Flash (economical)"
